
id	magnitude	score
0	1.0	1.4	0.2
1	2.0	0.0	0.0
2	3.0	0.2	0.0
3	4.0	0.2	-0.2
4	5.0	1.2	0.4
5	6.0	1.1	0.1
6	7.0	1.5	0.1
7	8.0	2.3	0.4
8	9.0	0.0	0.0
9	10.0	1.0	0.1
10	11.0	0.1	0.0
11	12.0	0.8	0.0
12	13.0	0.4	0.0
13	14.0	0.4	0.0
14	15.0	0.4	0.2
15	16.0	0.1	0.1
16	17.0	0.4	-0.1
17	18.0	1.2	0.2
18	19.0	0.8	-0.1
19	20.0	0.6	-0.3
20	21.0	0.0	0.0
21	22.0	2.2	0.3
22	23.0	1.2	0.2
23	24.0	1.2	0.0
24	25.0	0.3	0.0
25	26.0	0.9	0.2
26	27.0	0.5	0.0
27	28.0	1.9	0.3
28	29.0	0.5	0.0
29	30.0	1.3	0.2
...	...	...	...
98	99.0	0.7	0.1
99	100.0	1.3	0.6
100	101.0	0.0	0.0
101	102.0	2.3	0.1
102	103.0	2.3	0.5
103	104.0	2.7	0.6
104	105.0	0.4	0.0
105	106.0	1.1	0.1
106	107.0	2.8	0.7
107	108.0	0.0	0.0
108	109.0	0.0	0.0
109	110.0	2.3	0.3
110	111.0	0.0	0.0
111	112.0	1.3	0.2
112	113.0	0.6	0.1
113	114.0	1.1	0.2
114	115.0	1.5	0.2
115	116.0	0.3	0.0
116	117.0	0.0	0.0
117	118.0	0.9	0.1
118	119.0	1.3	0.3
119	120.0	1.4	0.4
120	121.0	1.2	0.3
121	122.0	0.8	0.8
122	123.0	0.1	0.0
123	124.0	1.5	0.3
124	125.0	0.6	0.1
125	126.0	2.3	0.3
126	127.0	1.6	0.4
127	128.0	0.1	0.0
128 rows × 3 columns
