,AWSSentiment,AWSMixed,AWSNegative,AWSNeutral,AWSPositive,GCPmagnitude,GCPscore,IBMlabel,IBMscore,id,Azurescore,realSentiment,Text
1,POSITIVE,0.012898720800876617,0.0013091247528791428,0.1804008036851883,0.8053913116455078,1.0,0.20000000298023224,positive,0.871771,1,0.8124092817306519,neutral,"Good day, ladies and gentlemen and welcome to the General Electric Fourth Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. My name is Brandon and I'll be your conference facilitator today. [Operator Instructions] As a reminder, this conference is being recorded."
2,NEUTRAL,0.002105920808389783,0.026451878249645233,0.952021598815918,0.01942063681781292,0.0,0.0,positive,0.607113,2,0.8237001895904541,neutral,"I would now like to turn the program over to your host for today's conference, Steve Winoker Vice President of Investor Communications. Please go ahead sir."
3,POSITIVE,0.0034725023433566093,0.0015721546951681376,0.2103654444217682,0.784589946269989,1.600000023841858,0.4000000059604645,positive,0.572983,3,0.7623077630996704,neutral,"In the spirit of providing you with all the information we have as soon as we have it, I'll speak to what I have found over the last 120 days. We were executing against the key priorities we laid out in June and again in October. Simply put deleveraging the balance sheet and strengthening our businesses starting with Power. Remember beyond Power, it's important to recognize the underlying strengths in our businesses where the story is about enhancing our competitive advantage and delivering for customers and shareholders."
4,NEGATIVE,0.03922535106539726,0.5593406558036804,0.39676544070243835,0.004668481182307005,0.0,0.0,positive,0.547195,4,0.5,neutral,"Well, Jeff what I was referring to there was that, it's really the statutory calculation not the GAAP that drives the statutory funding needs. We are right in the middle of that process. We continue to expect to contribute about $2 billion to the insurance entities in 2019. We'll conclude that process over the next three to four weeks. But at this point that is what we expect."
5,NEUTRAL,0.030986493453383446,0.1672506481409073,0.7966609001159668,0.0051019755192101,1.899999976158142,0.0,negative,-0.552928,5,0.5,neutral,"Morning. Maybe as the first question on Power. I understand, you're reticent to give too much forward-looking color but perhaps give us a sense of, if you look at the reported 2018 numbers EBIT loss of $800 million free cash of minus $2.7 billion. How would you look at the or characterize to us the underlying figures for both of those two items, if you strip out charges and projects execution overruns and so on? And maybe also on that point, if you could give any color as to the separation of gas and non-gas within Power? What sort of financial conditions that separation has uncovered in each of the two pieces?"
6,NEUTRAL,0.03188908100128174,0.05413742735981941,0.761923611164093,0.15204986929893494,2.4000000953674316,0.30000001192092896,positive,0.831823,6,0.5,positive,"Sure, sure. Let me do that and again this is very much a work in progress with a new team establishing new operating rhythms. But I would say that if we start on the service side of things, right? We've got a $62 billion backlog. We did take the charge in the fourth quarter $400 million on about a $3.7 billion contract asset book and we think that's appropriate just given what we see in the marketplace. I think we're encouraged though relative to the execution around pricing here. We have changed the way the folks in the field are compensated."
7,NEUTRAL,0.2480992078781128,0.10641435533761978,0.4980381429195404,0.1474483162164688,2.0999999046325684,0.10000000149011612,positive,0.362159,7,0.7533400654792786,neutral,"Transitioning them, if you will from volume to margin. But again, there's a good bit of productivity post Alstom that we still need to get from the combined organizations here and that work is incomplete. But that's part of that operating loss that you see here at year's end. We are clearly dealing with lower demand in equipment, encouraged by some of the share points in the US market here in the back half. But again, we want to make sure we focused on profitable share. There we took $350 million of charges around the project book and we know that we have a lot of execution here to improve just in the way these projects are brought online."
8,NEUTRAL,0.039836689829826355,0.022055966779589653,0.756991982460022,0.18111535906791687,2.9000000953674316,0.5,positive,0.842082,8,0.7171832323074341,positive,"I think when you look at the vintages, we're encouraged by the progress that we see post the '16 underwriting class in terms of our margins on those projects. But that's very much a work in progress. I think with respect to the change in the structure of Power, again part of it is a cost reduction. We shared some of that in the prepared remarks but we also are getting better visibility on the underlying businesses P&L-by-P&L. So we talk about gas, we're combining services and equipment then we have the rest of our Power portfolio."
9,POSITIVE,0.2287975549697876,0.25767388939857483,0.1783124804496765,0.33521607518196106,1.600000023841858,0.10000000149011612,positive,0.667564,9,0.8926946520805359,neutral,"As Jamie mentioned, we now take on all the cost for grid now that we own all of it that doesn't help us at all. But now we've got better line of sight on the discreet P&L's grid, Steam, Power Conversion and Nuclear all four of those businesses have meaningful profit improvement potential and we're going to manage them from the bottoms up accordingly. So clearly, we're at a break even from our P&L perspective absence some other charges, a lot of work to do here and as we have better visibility and more conviction around those improvements, we'll be back and we'll be back here soon with respect to how that plays out in '19 and '20."
10,NEUTRAL,0.08802171051502228,0.3117474913597107,0.510089635848999,0.09014113992452621,1.600000023841858,0.0,positive,0.447535,10,0.7104167342185974,neutral,"The other color I would just add there on negative free cash flow is as volume comes down in the factories and as our projects continue to work their way through, you see volume leveling but we've been in a declining frame here. So what's really flowing through on cash in addition to some of the other items Larry mentioned is a burn down of our progress billings and a burn down of our project payables. Situations where we receive projects in advance of constructing new equipment or where we received progress on projects and now we're in the phase of the project, where the payables and the costs are starting to come through. So that's also pressuring the Power of free cash flow. And as that levels that also starts to level."
11,NEUTRAL,0.0017562169814482331,0.0005225890199653804,0.9166315793991089,0.08108961582183838,1.100000023841858,0.20000000298023224,positive,0.90198,11,0.5,neutral,"With respect to delevering, we've taken the following actions: We've reduced the quarterly dividend retaining $4 billion per year; accelerated the sale of a portion of our BHGE ownership stake raising $3.7 billion; and changed the structure of our transaction with Wabtec enabling us to retain an incremental $2 billion stake. We're demonstrating our seriousness and the flexibility with respect to our decisions to recut the BHGE and Wabtec deals in particular. We closed Distributed Power for $2.8 billion of net cash in the quarter."
12,NEUTRAL,0.1296723186969757,0.10994797945022583,0.5205283164978027,0.23985140025615692,0.800000011920929,0.0,positive,0.603998,12,0.5,neutral,"Thanks. And then my second question may be about a business, where there's better medium term visibility Aviation. You talked about the LEAP operating margin headwind last year. How do you see that moving in 2019 relative to that 160 bps? And then looking out beyond just this year anything on the horizon in terms of let's say 777X transition or NMA that you think could cause a major risk to the aviation free cash flow in margin profile?"
13,POSITIVE,0.060717061161994934,0.01651442050933838,0.4197361469268799,0.5030323266983032,1.5,0.0,positive,0.325431,13,0.5,positive,"With respect to Aviation's merger and mix you saw strong fourth quarter and when we look at the remixing that's happening between CFM and LEAP significant increase in LEAP shipments in the quarter up 88% over the prior year. Year-over-year 2.4x up and you're seeing CFM come down meaningfully over those same periods. Next year, CFM will come down again about I'd say more than 50% of CFM deliveries will be reduced next year but the LEAP also ramps from the 1,118 we had this year up to 1,800-plus. So that remixing continues to occur. We mentioned on the call that it was a drag in 2018 of 160 basis points. We do expect continued some small drag next year but again Aviation's doing a really nice job offsetting that with services growth. They're shifting in military and the company-funded R&D."
14,NEUTRAL,0.023705340921878815,0.12947167456150055,0.7697762846946716,0.077046699821949,0.30000001192092896,-0.10000000149011612,positive,0.615915,14,0.5,neutral,"We're clearly in conversations with our major airframe customers about new platforms. I think at this point, it would be premature to suggest that we're going to have a cash flow headwind a material cash flow headwind around any of those programs here in '19."
15,NEGATIVE,0.01694183237850666,0.9134793877601624,0.06697069108486176,0.0026081411633640528,2.0,0.0,negative,-0.460259,15,0.5,negative,"And Larry I don't buy that you're going to have a prom date. That's nonsense. Even I had a prom date. I was bald at birth. All kidding aside, the one number you gave that was new, which was kind of eye-popping to me, it was just $1.6 billion Power headquarter number. Can you put some context around that? It seems just like such a insane number. But I don't know really what you're including in that I guess as far as talking about headquarter?"
16,NEGATIVE,0.1436067819595337,0.3903888165950775,0.3263181746006012,0.1396862268447876,4.5,0.20000000298023224,positive,0.454237,16,0.8629053831100464,neutral,"Well, there's -- it's a large number and again, I think we've got line of sight here in the near terms Scott to bring that down by about 300. And effectively, as you know, we've done a lot horizontally both at corporate and at the segment levels over time for the businesses. So it's not as if it's unhelpful or wasteful but there clearly is an adjustment we can take here as we move those activities into the businesses and I think over time as the businesses have true ownership for them that they are in their operating budgets as opposed to an allocation from corporate. They're likely to find opportunities for further savings. But we don't do it primarily for the cost reduction. I think we really do it to help drive visibility and accountability P&L-by-P&L. I think I've shared with some folks that early on in my tenure we would talk about Power as if it was one business. It's obviously a number of businesses. Some better than others, different issues here and there. I think we've got better visibility on those issues. It's not perfect today but as we get that visibility I think better position to take meaningful action to drive better results across that portfolio."
17,NEUTRAL,0.06993700563907623,0.03625522181391716,0.7069607377052307,0.18684707581996918,1.100000023841858,0.10000000149011612,positive,0.306029,17,0.5,neutral,"That make sense. And then the other thing is just not totally clear is, if the New World is 25 gigawatts to 30 gigawatts, which arguably a lot of people can say the New World is 25 or even a little lower but how do you get your capacity down anywhere close to that? I mean you've got big factories, lots of capital equipment, lot of pressure from governments and unions and everybody else. Is it realistic to be able to get that down in the next two years? it's something that's closer to 30?"
18,NEUTRAL,0.1709640473127365,0.17552372813224792,0.3696397840976715,0.2838723957538605,2.9000000953674316,0.20000000298023224,positive,0.781831,18,0.5,neutral,"Well, I think it is realistic, right? There are going to be a number of competing priorities and pressures but we took $1 billion of cost out last year. I think we are putting the -- we're putting up the parameters of a program to build on what we did last year. So Scott, we have to do this. We absolutely have to do this. I think we know, it's a multiyear effort but the challenge here around margins is not simply one of capacity. Right back to the earlier question around pricing. Productivity both in new equipment and in the field on services. It's a whole host of things that I think give us the optimism that we can drive better margin and cash performance in this business. But we have to prove that to you."
19,NEUTRAL,0.007905708625912666,0.01366619672626257,0.8672138452529907,0.11121430993080139,0.30000001192092896,0.0,positive,0.602805,19,0.5,neutral,"For the year, we signed or completed substantially all of our $20 billion industrial asset sale plan, which had targeted roughly $10 billion in proceeds. We also announced the sale of ServiceMax in the fourth quarter. We completed $8 billion of capital asset sales and other actions in the quarter bringing our total for the year to $15 billion, which were executed at book value or better. We're more than halfway through the total of $25 billion capital asset sale program, which we expect to complete this year."
20,NEUTRAL,0.005890666972845793,0.0455966554582119,0.8779609799385071,0.07055173069238663,0.0,0.0,positive,0.47644,20,0.5,neutral,"And from Citi, we have Andrew Kaplowitz. Please go ahead."
21,MIXED,0.507737934589386,0.09828605502843857,0.04555947333574295,0.3484165370464325,2.0999999046325684,0.30000001192092896,positive,0.469988,21,0.8138052225112915,neutral,"Hey. Good morning, guys. Larry, one of the biggest issues I think that investors have had when GE is the concern that legacy liabilities will continue to surprise the company. The FIRREA agreement with the DOJ seems like a positive development in that regard, so does is the relatively small LTC adjustment. But at this point, do you feel reasonably confident that you've identified all the skeletons in the closet in a level of negative surprises are really going to start dropping moving forward?"
22,POSITIVE,0.021729659289121628,0.0013255183584988117,0.12880930304527283,0.8481355905532837,1.7999999523162842,0.20000000298023224,positive,0.534013,22,0.5,positive,"I don't think I would ever say, even on my last day here that we have found all the skeletons, right? I don't tend to take absolute positions. But that said I think you're spot on. The news today around WMC is good both with respect to a resolution and the fact that we came in right where we were reserved. So we can begin to move that episode behind us. I think we're encouraged by the results that Jamie walked you through relative to the LRT."
