,AWSSentiment,AWSMixed,AWSNegative,AWSNeutral,AWSPositive,GCPmagnitude,GCPscore,IBMlabel,IBMscore,id,Azurescore,realSentiment,text
1,POSITIVE,0.003023817902430892,0.0039044960867613554,0.20113803446292877,0.7919336557388306,0.0,0.0,positive,0.987951,1,0.887542188167572,positive,"Thank you, Ellen. We have a strong 2018, with total revenues of $136.8 billion, up 23% over 2017, reflecting the benefit of our ongoing investments to deliver exceptional experiences for users and compelling returns for our advertisers, partners and enterprise customers."
2,NEUTRAL,0.0028202300891280174,0.00608405377715826,0.9747905731201172,0.01630508154630661,0.699999988079071,0.10000000149011612,positive,0.655981,2,0.832602858543396,neutral,"Let me now turn to and talk about Other Bets. I'll cover results for the full-year 2018 because it remains most instructive to look at the financials for Other Bets over a longer-term horizon, as we've discussed on prior calls. Results for the quarter are in our earnings release."
3,NEUTRAL,0.0016497879987582564,0.008784741163253784,0.9405966997146606,0.04896881431341171,0.4000000059604645,0.10000000149011612,neutral,0.0,3,0.5,neutral,"Secondly, could you talk about advertising revenue, just qualitatively or quantitatively, how that's doing? And third, if I could, you spent a lot on marketing in the quarter, it's a real step up. Do you just want to talk about the ROI that you think you're getting on that marketing spend?"
4,NEUTRAL,0.003135555423796177,0.0042651258409023285,0.859948456287384,0.13265080749988556,0.30000001192092896,0.10000000149011612,positive,0.580306,4,0.7921944856643677,positive,"Our Investment Banking franchise overall remains very well positioned and continues to grow. The strong performance reflects our continued focus on building long-term client relationships and our ongoing investment in talent and capabilities. We are ending 2018 with an Investment Banking backlog meaningfully higher than where we finished 2017, notwithstanding a decline versus last quarter. This increase comes despite the robust revenue production of 2018."
5,NEUTRAL,0.006691626273095608,0.2944437265396118,0.6886300444602966,0.010234580375254154,0.30000001192092896,0.0,positive,0.683194,5,0.7495814561843872,neutral,"Great. Thank you. I just wanted to follow up on India, just bigger picture, Brian, do the new policies change your view at all of the attractiveness or the potential of operating in India and how do you think about your investment strategy there in the near term? And then also just hoping you could talk about some of the impact in the US and UK from free shipping during the fourth quarter holidays?"
6,NEUTRAL,0.0008581827860325575,0.0033460771664977074,0.9885591864585876,0.007236544508486986,1.2000000476837158,0.0,positive,0.427012,6,0.5,positive,"Yeah. Really, we're still evaluating the situation in India. We feel very good about the long term prospects in India and doing a good job for both Indian customers and Indian sellers. The new regulations need to be interpreted, need to be -- need to make sure they don't have unintended consequences. And again, I don't think it's necessarily consistent with better price, better selection and better convenience for the Indian customer. So it's not all we can say on that topic right now."
7,NEUTRAL,0.0013696008827537298,0.0018933967221528292,0.9284545183181763,0.06828253716230392,0.10000000149011612,0.0,positive,0.990295,7,0.5,positive,"Yeah. And I think Doug, your second point was just around shipping, some of the shipping offers in the holiday. We did lower the free shipping threshold ahead in to the fourth quarter, so customers took advantage of that and that was a great offer for them in the holidays. Brian talked a little bit about it before, but pleased with the holiday season, both from sort of a first party side, but also sellers continuing to do well. As part of the holiday offering, we sold a number of record breaking number of Alexa devices as well and I think just in that shipping vein, really pleased with the continued engagement from Prime members, we had the most ever number of Prime members sign up this quarter than any quarter we've had. So really pleased with that."
8,NEUTRAL,0.000653567723929882,0.0032318902667611837,0.9938967823982239,0.0022177721839398146,0.800000011920929,-0.20000000298023224,negative,-0.24186,8,0.5,neutral,Thank you. Our next question comes from the line of Mark May with Citi.
9,NEUTRAL,0.00018488669593352824,0.002061413833871484,0.9975336790084839,0.0002199414884671569,0.8999999761581421,-0.10000000149011612,negative,-0.516043,9,0.5,positive,"We think it was a, Q4 in particular was a great quarter for customers that retail, there is a lot of strength in the retail part of the businesses, the teams here had done a great job, planning, preparing and then executing on the quarter. AWS maintained a very strong growth rate and continued to deliver for customers. We had a great Reinvent Conference in the quarter. So we feel good about the growth in the quarter and also the total revenue and income."
10,NEUTRAL,0.015917956829071045,0.0037834602408111095,0.502091109752655,0.4782074987888336,1.100000023841858,0.30000001192092896,neutral,0.0,10,0.5,neutral,"Thank you. When I try to back out the impact factors like Whole Foods, the advertising accounting change and other factors, what I see is stable and pretty healthy revenue growth for the retail segment, but a slowdown in Q4 from what seems to have been, in more recent quarters, meaningful gross margin expansion in the retail segment. Can you discuss what may have driven that and how to think about retail gross margins going forward?"
11,NEUTRAL,0.0019418264273554087,0.014770700596272945,0.9807350039482117,0.0025525048840790987,0.20000000298023224,0.0,neutral,0.0,11,0.5,neutral,"And then somewhat separately, retail margins last year benefited from several factors, including more modest hiring and more modest growth in fulfillment center capacity, do you see these factors persisting this year? Thanks."
12,NEUTRAL,0.005210709758102894,0.019257478415966034,0.9323184490203857,0.04321328178048134,0.0,0.0,positive,0.876166,12,0.5,positive,"Yeah. Thank you. Let me start with that last part, because I think if we step back and put 2018 in perspective, there are some clear trends regarding our cost structure. Starting with fulfillment costs, so in the prior two years, 2016, and 2017, we had grown our square footage tied to fulfilment and shipping by greater than 30%. In 2018, that number grew by 15%. Certainly, unit demand was lower, but AFN or Amazon Fulfilled demand were, we’ve combined FBA and retail, remained strong. So we had a banking, if you will, of some large expansions in the prior two years. Similarly on headcount, we grew headcount by 48% in 2016, 38% in 2017, if you exclude the acquisitions of Whole Foods and Souq, which drove the number up to closer to 68% I believe. Last year, we were at 14% growth. And so, there was a lot of leverage and a lot of, in a way, there was a lot of pre hiring in 2017 that we digested in 2018, while we still continue, in some areas, especially things like our core retail business and also G&A functions, but then we continue to invest again in the technology tied to AWS sales team to an AWS device area. So their groups are growing considerably higher than that 14%, but on total, the company grew 14%."
13,NEUTRAL,1.843167410697788e-05,5.350279366211907e-07,0.9915148019790649,0.008466159924864769,1.2000000476837158,0.4000000059604645,positive,0.892833,13,0.5,positive,"And then on capital, especially infrastructure capital, if you use the capital lease slide as maybe an indicator for what we have invested into our AWS business to support infrastructure and global expansion, that number grew 10% last year, when it had grown 69% in 2017. So in a lot of ways, 2018 was about banking the efficiencies of investments in people, warehouses, infrastructure that we had put in place in 2016 and ’17. So while we'll continue to concurrently drive growth and customer offering and Prime benefits, we certainly do take costs seriously and we will continue to work on operational efficiencies. I would expect these investments to increase relative to 2018 and we've reflected what we see so far in Q1 in our guidance."
14,NEUTRAL,0.0015914039686322212,5.1351114962017164e-05,0.744705855846405,0.25365138053894043,1.7000000476837158,0.4000000059604645,positive,0.932051,14,0.5,negative,"For the full-year 2018, Other Bets revenues were $595 million, up 25% versus 2017 primarily generated by Fiber and Verily. Operating loss for Other Bets was $3.4 billion for the full-year 2018 versus an operating loss of $2.7 billion in 2017. Other Bets accrued CapEx was $181 million, down from $493 million in 2017 primarily reflecting investments in Fiber."
15,NEUTRAL,0.006934262812137604,0.00608431501314044,0.6798943281173706,0.30708712339401245,2.4000000953674316,0.800000011920929,positive,0.931991,15,0.8760291934013367,neutral,Thank you. Our next question comes from the line of Heath Terry with Goldman Sachs.
16,NEUTRAL,0.0010687044123187661,0.0002330080169485882,0.935274600982666,0.06342373043298721,1.7999999523162842,0.20000000298023224,positive,0.82151,16,0.8136300444602966,positive,"Great. Thank you. A little bit -- to dig a little bit deeper into the CapEx capital lease side of things, you guys have said in the past that generally you work to build in line with your expectations for guidance, so that you are trying not to over build or under build when thinking about your fulfilment in data center capacity. We saw that investment re-accelerate in the fourth quarter, after hitting the lows that you referenced in Q3. Anything to read into that about sort of what your expectations are for growth in those businesses, seeing that reacceleration after the deceleration that we saw over the course of at least the first three quarters of last year."
17,NEUTRAL,0.003322928212583065,0.017708243802189827,0.9693203568458557,0.00964842177927494,0.10000000149011612,0.0,positive,0.918546,17,0.5,neutral,"Yeah. I see total CapEx that was -- grew 33% in Q1, 1% in Q2, negative 1% in Q3 and then positive 17% in Q4, just the quarter itself. So there was, as you say, a bit of investment in Q4 relative to Q2 and Q3. I still think the 17% is a low number for us, when you talk about the -- supporting the AWS business that's still growing in a very high clip and a very strong and healthy growth in FBA and customer demand and our expansion into new countries, both with AWS and also with our core consumer business. So I am not prepared to give you the forecast for the year right now. I would say that, I would consider 2018 to be a lighter investment year and the lighter year for adding fixed headcount certainly compared to 2016 and 2017 we'll reveal that as we go through the year, but we've built into the first quarter what we expect in the first three months."
18,NEUTRAL,0.004846177529543638,0.013757089152932167,0.9632381796836853,0.01815858855843544,1.600000023841858,-0.10000000149011612,positive,0.724225,18,0.5,neutral,Our next question comes from the line of Brian Nowak with Morgan Stanley.
19,NEUTRAL,0.0012387569295242429,0.00035286290221847594,0.699461042881012,0.29894736409187317,1.399999976158142,0.30000001192092896,positive,0.87895,19,0.5,neutral,"Thanks for taking my questions. I have two. Just -- the first one is to go back to the fourth quarter gross margins. I think if we try to back out AWS, it looks like there was a little more gross margin pressure. Can you just talk to any of the puts and takes we should know about from a gross margin perspective in the fourth quarter and then that other line that I think includes the advertising business, can you just help us, any help at all on the growth of the advertising business or the impact of any of the accounting changes in the quarter? Thanks."
20,NEUTRAL,0.06041312590241432,0.08473023772239685,0.8250423073768616,0.029814260080456734,0.4000000059604645,0.0,positive,0.844538,20,0.5,positive,"Yes. Sure. I’m sorry I skipped over that gross margin question earlier, but yeah, gross margins were well up 180 basis points year-over-year, were not up as much as prior quarters. I would say the positive tailwinds still remain, AWS has strong growth of 46% on an FX neutral basis. Third party units continue to grow, advertising dollars continue to grow very well. Some of the headwinds, I would say, were outbound shipping cost, including the free shipping that we did, but mostly, it was the higher Amazon fulfilled units and the greater use of Amazon logistics. And I would also say retail was very strong."
21,NEUTRAL,0.00018431503849569708,0.0013084016973152757,0.998404324054718,0.0001029373161145486,0.699999988079071,0.20000000298023224,positive,0.4656,21,0.5,negative,"Sure, Mark. The first question is on India. Let me start with that. So we have incorporated into our guidance estimate, the best estimate we have for Q1 in India, however, there is much uncertainty as to what the impact of the government rule change is going to have on the e-commerce sector there. We remain committed to complying with all laws and regulations, we will, but we're evaluating the situation. Our main issue and our main concern is trying to minimize the impact to our customers and sellers in India. We've built our business around price selection and convenience. We don't think the changes help in those dimensions for both the customers in India and also the sellers."
22,NEUTRAL,0.007845369167625904,0.018868250772356987,0.6709268093109131,0.30235952138900757,1.100000023841858,0.30000001192092896,positive,0.815343,22,0.5,neutral,"We had a, as I think Dave mentioned, the Echo Dot was the highest selling unit globally, so devices had very strong sales in the quarter. We discussed how we don't price devices to make money. We usually will expand our content, expanding our device and usage. There are a group of customers who use our devices and then we monetize that in different ways to commitment to Amazon and the video and everything else. So a bit of it was mix, but I would say this retail, which has a lower gross margin more because of the revenue treatment was stronger in Q4."
23,NEUTRAL,0.000740804651286453,0.0015695388428866863,0.9894469976425171,0.008242545649409294,0.0,0.0,positive,0.654059,23,0.5,neutral,"Yeah. And just on the other revenue piece, Brian, just to get back to the accounting side. We did adopt that revenue recognition standard in 2018 as I mentioned. As part of the adoption, certain advertising services were classified as revenue rather than a reduction of cost of sales. So specific to Q4, the impact of that change was an increase of approximately $1 billion to other revenue, so you will see that in the other revenue in total"
24,POSITIVE,0.026013044640421867,0.0011328551918268204,0.08197121322154999,0.8908829092979431,1.7999999523162842,0.6000000238418579,positive,0.867419,24,0.8310141563415527,neutral,Thank you. Our next question comes from the line of Colin Sebastian with Robert W. Baird.
